url,title,html_url,general_prepro_title,DEVA_prepro_title,"DEVA
valence of text (Vt)","DEVA
arousal of text (At)","DEVA
emotion state of text (Et)",SSSE_prepro_title,"SentiStrength-SE
positive sentiment 
score of text (Pt)","SentiStrength-SE
negative sentiment 
score of comment (Nt)","SentiStrength-SE
overall valence 
of text (Vt)",,,,,
https://api.github.com/repos/gravitystorm/openstreetmap-carto/issues/2831,Improving sand patterns,https://github.com/gravitystorm/openstreetmap-carto/issues/2831,improving sand patterns,Improving sand patterns,1,-3,Neutral (LA),improving sand patterns,1,-1,neutral,,,,,
https://api.github.com/repos/McCLIM/McCLIM/issues/546,:background initarg to pane classes only works with colors on CLX backend,https://github.com/McCLIM/McCLIM/issues/546,background initarg pane classes works colors clx backend,:background initarg to pane classes only works colors on CLX backend,1,-2,Neutral (LA),background initarg to pane classes only works colors on clx backend,1,-1,neutral,,,,,
https://api.github.com/repos/lqy0628/dev1257/issues/252,Shield banners,https://github.com/lqy0628/dev1257/issues/252,shield banners,Shield banners,1,-2,Neutral (LA),shield banners,1,-1,neutral,,,,,
https://api.github.com/repos/google/butteraugli/issues/24,Question about butteraugli's threshold value,https://github.com/google/butteraugli/issues/24,question butterauglis threshold value,Question about butteraugli's threshold value,1,-3,Neutral (LA),question about butterauglis threshold value,1,-1,neutral,,,,,
https://api.github.com/repos/zedapp/zed/issues/113,Disappearing Lines,https://github.com/zedapp/zed/issues/113,disappearing lines,Disappearing Lines,1,1,Neutral,disappearing lines,1,-1,neutral,,,,,
https://api.github.com/repos/axydavid/FirefoxUI/issues/6,dark theme,https://github.com/axydavid/FirefoxUI/issues/6,dark theme,dark theme,1,-3,Neutral (LA),dark theme,1,-1,neutral,,,,,
https://api.github.com/repos/McCLIM/McCLIM/issues/862,No-applicable-method for clim:color-rgb when called with clime:rectangular-tile,https://github.com/McCLIM/McCLIM/issues/862,noapplicablemethod climcolorrgb called,clim:color-rgb when called,1,1,Neutral,noapplicablemethod climcolorrgb when called,1,-1,neutral,,,,,
https://api.github.com/repos/dwyl/dev-setup/issues/23,Atom Editor is 859.8 MB on Disk (This is Ridiculous!),https://github.com/dwyl/dev-setup/issues/23,atom editor mb disk ridiculous,Atom Editor is MB on Disk (This is Ridiculous!),-4,-4,Depressed,atom editor is mb on disk is ridiculous,1,-3,negative,,,,,
https://api.github.com/repos/McCLIM/McCLIM/issues/547,Coordinate problems with designs as backgrounds on CLX backend,https://github.com/McCLIM/McCLIM/issues/547,coordinate problems designs backgrounds clx backend,Coordinate problems designs as backgrounds on CLX backend,1,1,Neutral,coordinate problems designs as backgrounds on clx backend,1,-1,neutral,,,,,
https://api.github.com/repos/joshuaulrich/TTR/issues/65,TTR Pattern Recognition functions??,https://github.com/joshuaulrich/TTR/issues/65,ttr pattern recognition functions,TTR Pattern Recognition functions??,1,-3,Neutral (LA),ttr pattern recognition functions,1,-1,neutral,,,,,
https://api.github.com/repos/jaredible/jaredible.net/issues/4,Background color on light/dark mode toggle,https://github.com/jaredible/jaredible.net/issues/4,background color lightdark mode toggle,Background color on light/dark mode toggle,1,-3,Neutral (LA),background color on lightdark mode toggle,1,-1,neutral,,,,,
https://api.github.com/repos/JhonTolentino/ecommerce-pattern-library/issues/2,Final grade Request,https://github.com/JhonTolentino/ecommerce-pattern-library/issues/2,grade request,grade Request,1,-2,Neutral (LA),grade request,1,-1,neutral,,,,,
https://api.github.com/repos/City-of-Helsinki/open-city-app/issues/40,Navigation drawer lacking shadow/differentiation,https://github.com/City-of-Helsinki/open-city-app/issues/40,navigation drawer lacking,Navigation drawer lacking,1,-3,Neutral (LA),navigation drawer lacking,1,-1,neutral,,,,,
https://api.github.com/repos/elliottwilliams/elliottwilliams.github.com/issues/1,font-smoothing: antialiased,https://github.com/elliottwilliams/elliottwilliams.github.com/issues/1,fontsmoothing antialiased,font-smoothing: antialiased,-2,-3,Depressed,fontsmoothing antialiased,1,-2,negative,,,,,
https://api.github.com/repos/FACN4/BSN_week1-group-project/issues/27,Text content in About Us section does not seem relevant to the site,https://github.com/FACN4/BSN_week1-group-project/issues/27,text content us section seem relevant site,Text content About Us section does not seem relevant to the site,1,-4,Neutral (LA),text content about us section does not seem relevant to the site,1,-1,neutral,,,,,
https://api.github.com/repos/Mangul-Lab-USC/db.microbiome/issues/14,fungi,https://github.com/Mangul-Lab-USC/db.microbiome/issues/14,fungi,fungi,1,1,Neutral,fungi,1,-1,neutral,,,,,
https://api.github.com/repos/dataviz-sp18/exp-emo/issues/1,Thoughts for your thoughts,https://github.com/dataviz-sp18/exp-emo/issues/1,thoughts thoughts,Thoughts your thoughts,1,1,Neutral,thoughts your thoughts,1,-1,neutral,,,,,
https://api.github.com/repos/GitHawkApp/GitHawk/issues/1975,Git Diff Highlighting,https://github.com/GitHawkApp/GitHawk/issues/1975,git diff highlighting,Git Diff Highlighting,1,1,Neutral,git diff highlighting,1,-1,neutral,,,,,
https://api.github.com/repos/haskell-infra/hl/issues/39,Subtle patterns as background to replace dark colors (picture in description),https://github.com/haskell-infra/hl/issues/39,subtle patterns background replace dark colors picture description,Subtle patterns as background to replace dark colors (picture description),1,-3,Neutral (LA),subtle patterns as background to replace dark colors picture description,1,-1,neutral,,,,,
https://api.github.com/repos/albavulpes/web/issues/2,Light Theme?,https://github.com/albavulpes/web/issues/2,light theme,Light Theme?,1,-3,Neutral (LA),light theme,1,-1,neutral,,,,,
https://api.github.com/repos/bhaumikmistry/open-connect-art/issues/68,Diwali Button effect for tiles,https://github.com/bhaumikmistry/open-connect-art/issues/68,diwali button effect tiles,Diwali Button effect tiles,1,-2,Neutral (LA),diwali button effect tiles,1,-1,neutral,,,,,
https://api.github.com/repos/stevendelarwelle/remotejobs/issues/5467,Head of Self Service,https://github.com/stevendelarwelle/remotejobs/issues/5467,head self service,Head of Self Service,1,-3,Neutral (LA),head of self service,1,-1,neutral,,,,,
https://api.github.com/repos/patternfly/patternfly-elements/issues/451,[feat] Adding support for Dark Mode,https://github.com/patternfly/patternfly-elements/issues/451,feat adding support dark mode,[feat] Adding support Dark Mode,1,-3,Neutral (LA),feat adding support dark mode,1,-1,neutral,,,,,
https://api.github.com/repos/nimiq/nimiqode/issues/1,Consider adding bias towards black in binarizer,https://github.com/nimiq/nimiqode/issues/1,consider adding bias towards black binarizer,Consider adding bias towards black binarizer,1,-3,Neutral (LA),consider adding bias towards black binarizer,1,-1,neutral,,,,,
https://api.github.com/repos/CelestialPhoenix/BS-G-1.12-Pack/issues/16,Passive Monster spawning (vanilla change),https://github.com/CelestialPhoenix/BS-G-1.12-Pack/issues/16,passive monster spawning vanilla change,Passive Monster spawning (vanilla change),1,2,Neutral (HA),passive monster spawning vanilla change,1,-1,neutral,,,,,
https://api.github.com/repos/astronomyk/SimCADO/issues/46,"simulate only detector, e.g. dark, flat",https://github.com/astronomyk/SimCADO/issues/46,simulate detector eg dark flat,"simulate only detector, e.g. dark, flat",1,-3,Neutral (LA),simulate only detector eg dark flat,1,-1,neutral,,,,,
https://api.github.com/repos/tterrag1098/CustomThings/issues/30,[Suggestion] Ability to add custom trees,https://github.com/tterrag1098/CustomThings/issues/30,suggestion ability add custom trees,[Suggestion] Ability to add custom trees,1,-2,Neutral (LA),suggestion ability to add custom trees,1,-1,neutral,,,,,
https://api.github.com/repos/monsterbeat/timberland-boots/issues/1,Timberland equipment to provide a comfortable also let a person feel protected,https://github.com/monsterbeat/timberland-boots/issues/1,timberland equipment provide comfortable also let person feel,Timberland equipment to provide a comfortable also let a person feel,4,-4,Relaxed,timberland equipment to provide a comfortable also let a person feel,2,-1,positive,,,,,
https://api.github.com/repos/ChristopherChudzicki/math3d-react/issues/228,Color maps can look wrong,https://github.com/ChristopherChudzicki/math3d-react/issues/228,color maps look wrong,Color maps can look wrong,1,-3,Neutral (LA),color maps can look wrong,1,-1,neutral,,,,,
https://api.github.com/repos/mozilla/iris_firefox/issues/3219,Update patterns for Mac OS X Mojave,https://github.com/mozilla/iris_firefox/issues/3219,update patterns mac os x mojave,Update patterns Mac OS X Mojave,1,-2,Neutral (LA),update patterns mac os x mojave,1,-1,neutral,,,,,
https://api.github.com/repos/Mudlet/Mudlet/issues/2463,Bring back foreground text colour for trigger patterns,https://github.com/Mudlet/Mudlet/issues/2463,bring back foreground text colour trigger patterns,Bring back foreground text colour trigger patterns,1,-4,Neutral (LA),bring back foreground text colour trigger patterns,1,-1,neutral,,,,,
https://api.github.com/repos/pelya/screen-dimmer-pixel-filter/issues/6,Diagonal pattern on white screen,https://github.com/pelya/screen-dimmer-pixel-filter/issues/6,diagonal pattern white screen,Diagonal pattern on white screen,1,-4,Neutral (LA),diagonal pattern on white screen,1,-1,neutral,,,,,
https://api.github.com/repos/gravitystorm/openstreetmap-carto/issues/2616,Tag natural=rock (node and area) is not rendered,https://github.com/gravitystorm/openstreetmap-carto/issues/2616,tag naturalrock node area rendered,Tag natural=rock (node area) is not rendered,1,-4,Neutral (LA),tag naturalrock node area is not rendered,1,-1,neutral,,,,,
https://api.github.com/repos/PCSX2/pcsx2/issues/3027,GSdx-HW: Dithering on Hardware,https://github.com/PCSX2/pcsx2/pull/3027,gsdxhw dithering hardware,GSdx-HW: Dithering on Hardware,1,-2,Neutral (LA),gsdxhw dithering on hardware,1,-1,neutral,,,,,
https://api.github.com/repos/cuny-academic-commons/cbox-theme/issues/42,"Implement a ""Preset"" system for Theme Options/CSS",https://github.com/cuny-academic-commons/cbox-theme/issues/42,implement preset system theme optionscss,"Implement a ""Preset"" system Theme Options/CSS",1,-4,Neutral (LA),implement a preset system theme optionscss,1,-1,neutral,,,,,
https://api.github.com/repos/planetorium/ecommerce-pattern-library/issues/3,Request for Grade,https://github.com/planetorium/ecommerce-pattern-library/issues/3,request grade,Request Grade,1,-2,Neutral (LA),request grade,1,-1,neutral,,,,,
https://api.github.com/repos/mapbox/mapbox-studio-classic/issues/1553,Pattern rendering on studio classic 3.5.0,https://github.com/mapbox/mapbox-studio-classic/issues/1553,pattern rendering studio classic,Pattern rendering on studio classic,1,-3,Neutral (LA),pattern rendering on studio classic,1,-1,neutral,,,,,
https://api.github.com/repos/derickdinh613/ecommerce-pattern-library/issues/3,Grade Request,https://github.com/derickdinh613/ecommerce-pattern-library/issues/3,grade request,Grade Request,1,-2,Neutral (LA),grade request,1,-1,neutral,,,,,
https://api.github.com/repos/sebgroup/design-library/issues/45,Review: Agenda & Log,https://github.com/sebgroup/design-library/issues/45,review agenda log,Review: Agenda & Log,1,-2,Neutral (LA),review agenda log,1,-1,neutral,,,,,
https://api.github.com/repos/opencv/opencv_contrib/issues/2073,Add haze removal algorithms to xphoto module,https://github.com/opencv/opencv_contrib/issues/2073,add haze removal algorithms xphoto module,Add haze removal algorithms to xphoto module,1,-2,Neutral (LA),add haze removal algorithms to xphoto module,1,-1,neutral,,,,,
https://api.github.com/repos/floere/picky/issues/142,Most relevant search results,https://github.com/floere/picky/issues/142,relevant search results,Most relevant search results,1,-3,Neutral (LA),most relevant search results,1,-1,neutral,,,,,
https://api.github.com/repos/Geekeasier/geeks/issues/64,Best Watermarking Apps to Watermark Images on Mac,https://github.com/Geekeasier/geeks/issues/64,best watermarking apps watermark images mac,Best Watermarking Apps to Watermark Images on Mac,1,1,Neutral,best watermarking apps to watermark images on mac,1,-1,neutral,,,,,
https://api.github.com/repos/AlexModGuy/Ice-and-Fire-Suggestions/issues/107,Some More Dragon Suggestions,https://github.com/AlexModGuy/Ice-and-Fire-Suggestions/issues/107,dragon suggestions,Some More Dragon Suggestions,1,1,Neutral,some more dragon suggestions,1,-1,neutral,,,,,
https://api.github.com/repos/yankailab/OpenKAI/issues/32,Usage of RealSense 200 or D400 versus ZED Camera setup,https://github.com/yankailab/OpenKAI/issues/32,usage realsense versus zed camera setup,Usage of RealSense versus ZED Camera setup,1,5,Neutral (HA),usage of realsense versus zed camera setup,1,-1,neutral,,,,,
https://api.github.com/repos/popeen/Booksonic-App/issues/12,Series / Collection,https://github.com/popeen/Booksonic-App/issues/12,series collection,Series / Collection,1,-2,Neutral (LA),series collection,1,-1,neutral,,,,,
https://api.github.com/repos/FirefoxUX/photon/issues/320,Add missing content on Card component page,https://github.com/FirefoxUX/photon/issues/320,add missing content card component page,Add missing content on Card component page,1,-3,Neutral (LA),add missing content on card component page,1,-1,neutral,,,,,
https://api.github.com/repos/unizard/AwesomeArxiv/issues/171,[2018.05.09] paper skim,https://github.com/unizard/AwesomeArxiv/issues/171,paper skim,paper skim,1,-2,Neutral (LA),paper skim,1,-1,neutral,,,,,
https://api.github.com/repos/PowerShell/EditorSyntax/issues/59,Extend type definition to include static members and methods.,https://github.com/PowerShell/EditorSyntax/issues/59,extend type definition members methods,Extend type definition to members methods.,1,-4,Neutral (LA),extend type definition to members methods,1,-1,neutral,,,,,
https://api.github.com/repos/Beep6581/RawTherapee/issues/4757,visible low-level grid in images,https://github.com/Beep6581/RawTherapee/issues/4757,visible lowlevel grid images,visible low-level grid images,1,-5,Neutral (LA),visible lowlevel grid images,1,-1,neutral,,,,,
https://api.github.com/repos/Cangjians/ibus-cangjie/issues/74,icon was blur while switching input method in ibus,https://github.com/Cangjians/ibus-cangjie/issues/74,icon blur switching input method ibus,icon was blur while switching input method ibus,-2,-3,Depressed,icon was blur while switching input method ibus,1,-1,neutral,,,,,
https://api.github.com/repos/bluesky/databroker/issues/210,Question: Is it possible to query on the descriptor?,https://github.com/bluesky/databroker/issues/210,question possible query descriptor,Question: Is it possible to query on the descriptor?,1,-2,Neutral (LA),question is it possible to query on the descriptor,1,-1,neutral,,,,,
https://api.github.com/repos/bgrsquared/places/issues/5,Tweak weighing algorithm?,https://github.com/bgrsquared/places/issues/5,tweak weighing algorithm,Tweak weighing algorithm?,1,-2,Neutral (LA),tweak weighing algorithm,1,-1,neutral,,,,,
https://api.github.com/repos/bluesky/bluesky/issues/1162,[CSX] Detector data appears saved but is not accessible,https://github.com/bluesky/bluesky/issues/1162,csx detector data appears saved accessible,[CSX] Detector data appears saved but is not accessible,1,1,Neutral,csx detector data appears saved but is not accessible,1,-1,neutral,,,,,
https://api.github.com/repos/ccshiro/cc-buglist/issues/1046,List of 2.1.0 - 2.4.3 Profession Items,https://github.com/ccshiro/cc-buglist/issues/1046,list profession items,List of - Profession Items,1,-3,Neutral (LA),list of profession items,1,-1,neutral,,,,,
https://api.github.com/repos/netherspite/cc-buglist/issues/1046,List of 2.1.0 - 2.4.3 Profession Items,https://github.com/netherspite/cc-buglist/issues/1046,list profession items,List of - Profession Items,1,-3,Neutral (LA),list of profession items,1,-1,neutral,,,,,
https://api.github.com/repos/Freeseer/freeseer/issues/422,PIP Mixer plugin is  buggy,https://github.com/Freeseer/freeseer/issues/422,pip mixer plugin buggy,PIP Mixer plugin is buggy,1,5,Neutral (HA),pip mixer plugin is buggy,1,-1,neutral,,,,,
https://api.github.com/repos/pcdshub/pcdsdaq/issues/53,"Add ability to configure events, duration during a run",https://github.com/pcdshub/pcdsdaq/issues/53,add ability configure events duration run,"Add ability to configure events, duration during a run",1,-3,Neutral (LA),add ability to configure events duration during a run,1,-1,neutral,,,,,
https://api.github.com/repos/unumux/willow/issues/87,Consider namespacing variables,https://github.com/unumux/willow/issues/87,consider namespacing variables,Consider namespacing variables,1,-3,Neutral (LA),consider namespacing variables,1,-1,neutral,,,,,
https://api.github.com/repos/ropensci/ozunconf18/issues/9,`syn`: a package for generating synonyms and antonyms 📘 🔡,https://github.com/ropensci/ozunconf18/issues/9,syn generating synonyms antonyms,`syn`: a generating synonyms antonyms,1,1,Neutral,syn a generating synonyms antonyms,1,-1,neutral,,,,,
https://api.github.com/repos/maxim-zhao/battlemaniacs-restoration/issues/9,Music resync for both 50hz and 60hz outputs?,https://github.com/maxim-zhao/battlemaniacs-restoration/issues/9,music resync outputs,Music resync both outputs?,1,2,Neutral (HA),music resync both outputs,1,-1,neutral,,,,,
https://api.github.com/repos/gravitystorm/openstreetmap-carto/issues/2475,Render building=roof differently to expose underlying features,https://github.com/gravitystorm/openstreetmap-carto/issues/2475,render buildingroof differently expose underlying features,Render building=roof differently to expose underlying features,1,2,Neutral (HA),render buildingroof differently to expose underlying features,1,-1,neutral,,,,,
https://api.github.com/repos/autarc/optimal-select/issues/22,DOMException: Failed to execute querySelectorAll,https://github.com/autarc/optimal-select/issues/22,domexception failed execute queryselectorall,DOMException: Failed to execute querySelectorAll,1,2,Neutral (HA),domexception failed to execute queryselectorall,1,-1,neutral,,,,,
https://api.github.com/repos/AravisProject/aravis/issues/91,arv-viewer Display Problem with Pleora iPort Cl-GigE External Frame Grabber,https://github.com/AravisProject/aravis/issues/91,arvviewer display problem pleora iport clgige external frame grabber,arv-viewer Display Problem Pleora iPort Cl-GigE External Frame Grabber,1,-3,Neutral (LA),arvviewer display problem pleora iport clgige external frame grabber,1,-1,neutral,,,,,
https://api.github.com/repos/jeff-hykin/better-cpp-syntax/issues/64,Log of Major Changes to Existing Patterns,https://github.com/jeff-hykin/better-cpp-syntax/issues/64,log major changes existing patterns,Log of Major Changes to Existing Patterns,1,-2,Neutral (LA),log of major changes to existing patterns,1,-1,neutral,,,,,
https://api.github.com/repos/openyou/libfitbit/issues/46,"libfitbit compatible with ""Fitbit One""?",https://github.com/openyou/libfitbit/issues/46,libfitbit compatible fitbit one,"libfitbit compatible ""Fitbit One""?",1,-3,Neutral (LA),libfitbit compatible fitbit one,1,-1,neutral,,,,,
https://api.github.com/repos/gypsydave5/todo-mvp/issues/10,CSS for review for todo-mvp,https://github.com/gypsydave5/todo-mvp/issues/10,css review todomvp,CSS review todo-mvp,1,1,Neutral,css review todomvp,1,-1,neutral,,,,,
https://api.github.com/repos/codeclimate/codeclimate/issues/912,Very slow initialization of `codeclimate analyze` unless all `node_modules` directories are not made available to Docker,https://github.com/codeclimate/codeclimate/issues/912,slow initialization codeclimate analyze unless nodemodules directories made available docker,Very slow initialization of `codeclimate analyze` unless all `node_modules` directories are not made available to Docker,1,-3,Neutral (LA),very slow initialization of codeclimate analyze unless all nodemodules directories are not made available to docker,1,-1,neutral,,,,,
https://api.github.com/repos/cyberark/secretless-broker/issues/608,"Improve dev flow on tests, test documentation, and test infrastructure",https://github.com/cyberark/secretless-broker/issues/608,improve dev flow tests test documentation test infrastructure,"Improve dev flow on tests, test documentation, test infrastructure",1,-3,Neutral (LA),improve dev flow on tests test documentation test infrastructure,1,-1,neutral,,,,,
https://api.github.com/repos/brunocodutra/metal/issues/100,implement min_element,https://github.com/brunocodutra/metal/pull/100,implement minelement,implement min_element,1,-2,Neutral (LA),implement minelement,1,-1,neutral,,,,,
https://api.github.com/repos/ckb-next/ckb-next/issues/256,Kubuntu 18.04 - Keyboard always freezes on return from sleep since update to 18.04,https://github.com/ckb-next/ckb-next/issues/256,kubuntu keyboard always freezes sleep since update,Kubuntu - Keyboard always freezes on from sleep since update to,1,-2,Neutral (LA),kubuntu keyboard always freezes on from sleep since update to,1,-1,neutral,,,,,
https://api.github.com/repos/5digits/dactyl/issues/99,Future development of Pentadactyl,https://github.com/5digits/dactyl/issues/99,future development pentadactyl,Future development of Pentadactyl,1,-2,Neutral (LA),future development of pentadactyl,1,-1,neutral,,,,,
https://api.github.com/repos/overblog/GraphQLBundle/issues/538,Reconsider ArgumentsTransformer,https://github.com/overblog/GraphQLBundle/issues/538,reconsider,Reconsider,1,-2,Neutral (LA),reconsider,1,-1,neutral,,,,,
https://api.github.com/repos/gravitystorm/openstreetmap-carto/issues/3143,Change meadow and grassland rendering,https://github.com/gravitystorm/openstreetmap-carto/issues/3143,change meadow grassland rendering,Change meadow grassland rendering,1,-3,Neutral (LA),change meadow grassland rendering,1,-1,neutral,,,,,
https://api.github.com/repos/JetBrains/ideolog/issues/14,Regexp for an slf4j log format,https://github.com/JetBrains/ideolog/issues/14,regexp log format,Regexp an log format,1,-3,Neutral (LA),regexp an log format,1,-1,neutral,,,,,
https://api.github.com/repos/Crissov/unicode-proposals/issues/329,Color Swatch emojis,https://github.com/Crissov/unicode-proposals/issues/329,color swatch emojis,Color Swatch emojis,1,-3,Neutral (LA),color swatch emojis,1,-1,neutral,,,,,
https://api.github.com/repos/coq/coq/issues/9611,Color configuration does not affect text color in CoqIDE,https://github.com/coq/coq/issues/9611,color configuration affect text color coqide,Color configuration does not affect text color CoqIDE,1,-4,Neutral (LA),color configuration does not affect text color coqide,1,-1,neutral,,,,,
https://api.github.com/repos/brave/brave-browser/issues/4934,sparkle should look like keystone to the rest of the code,https://github.com/brave/brave-browser/issues/4934,sparkle look like keystone rest code,sparkle should look like keystone to the rest of the code,4,-4,Relaxed,sparkle should look like keystone to the rest of the code,3,-1,positive,,,,,
https://api.github.com/repos/GSA/modernization/issues/39,Comment from email: Report to the President on Federal IT Modernization - (Path to Success),https://github.com/GSA/modernization/issues/39,comment email report president federal modernization path success,Comment from email: Report to the President on Federal IT Modernization - (Path to Success),4,2,Excited,comment from email report to the president on federal it modernization path to success,1,-1,neutral,,,,,
https://api.github.com/repos/GreatEmerald/UT3Vehicles/issues/19,Differences in vehicle materials from UT3,https://github.com/GreatEmerald/UT3Vehicles/issues/19,differences vehicle materials,Differences vehicle materials from,1,1,Neutral,differences vehicle materials from,1,-1,neutral,,,,,
https://api.github.com/repos/gravitystorm/openstreetmap-carto/issues/780,Improve natural=heath color,https://github.com/gravitystorm/openstreetmap-carto/issues/780,improve naturalheath color,Improve natural=heath color,1,-3,Neutral (LA),improve naturalheath color,1,-1,neutral,,,,,
https://api.github.com/repos/sbrudenell/sb8200_exporter/issues/3,Request: Grafana dashboard,https://github.com/sbrudenell/sb8200_exporter/issues/3,request grafana dashboard,Request: Grafana dashboard,1,-3,Neutral (LA),request grafana dashboard,1,-1,neutral,,,,,
https://api.github.com/repos/w3c/ServiceWorker/issues/756,consider allowing multiple worker thread instances for a single registration,https://github.com/w3c/ServiceWorker/issues/756,consider allowing multiple worker thread instances single registration,consider allowing multiple worker thread instances a single registration,1,-3,Neutral (LA),consider allowing multiple worker thread instances a single registration,1,-1,neutral,,,,,
https://api.github.com/repos/w3c/fxtf-drafts/issues/130,[css-masking] make the behavior of an invalid mask  be consistent with clip-path and filter,https://github.com/w3c/fxtf-drafts/issues/130,cssmasking make behavior invalid mask consistent clippath filter,[css-masking] make the behavior of an invalid mask be consistent clip-path filter,1,-4,Neutral (LA),cssmasking make the behavior of an invalid mask be consistent clippath filter,1,-1,neutral,,,,,
https://api.github.com/repos/janeczku/calibre-web/issues/634,Audiobook Feature,https://github.com/janeczku/calibre-web/pull/634,audiobook feature,Audiobook Feature,1,-2,Neutral (LA),audiobook feature,1,-1,neutral,,,,,
https://api.github.com/repos/TrinityCore/TrinityCore/issues/281,[3.3.5] Overpowered Demon Minions in Durotar and perhaps elsewhere.,https://github.com/TrinityCore/TrinityCore/issues/281,overpowered demon minions durotar perhaps elsewhere,Overpowered Demon Minions Durotar perhaps elsewhere.,1,-2,Neutral (LA),overpowered demon minions durotar perhaps elsewhere,1,-1,neutral,,,,,
https://api.github.com/repos/benmiller314/cdm2019fall/issues/7,Blog post: visual arguments are everywhere,https://github.com/benmiller314/cdm2019fall/issues/7,blog post visual arguments everywhere,Blog post: visual arguments are everywhere,1,-2,Neutral (LA),blog post visual arguments are everywhere,1,-1,neutral,,,,,
https://api.github.com/repos/terraref/reference-data/issues/172,Add texture variables to BETYdb,https://github.com/terraref/reference-data/issues/172,add texture variables betydb,Add texture variables to BETYdb,1,-3,Neutral (LA),add texture variables to betydb,1,-1,neutral,,,,,
https://api.github.com/repos/sparcopen/doathon/issues/53,Open GIFs,https://github.com/sparcopen/doathon/issues/53,open gifs,Open GIFs,1,-2,Neutral (LA),open gifs,1,-1,neutral,,,,,
https://api.github.com/repos/nordtheme/nord/issues/46,light color theme,https://github.com/nordtheme/nord/issues/46,light color theme,light color theme,1,-4,Neutral (LA),light color theme,1,-1,neutral,,,,,
https://api.github.com/repos/refinedmods/refinedstorage/issues/1540,Load balancing,https://github.com/refinedmods/refinedstorage/issues/1540,load balancing,Load balancing,1,1,Neutral,load balancing,1,-1,neutral,,,,,
https://api.github.com/repos/cypress-io/cypress/issues/448,Capture + Display all logs for everything that happens in Cypress,https://github.com/cypress-io/cypress/issues/448,capture display logs everything happens cypress,Capture + Display all logs everything that happens Cypress,1,-2,Neutral (LA),capture display all logs everything that happens cypress,1,-1,neutral,,,,,
